,count
"(-74.00173688931052, 40.709960169665855, -74.00155908225975, 40.70981710803988)",5378
"(-74.00155908225975, 40.70981710803988, -74.00147140325888, 40.70974655416164)",5378
"(-74.00147140325888, 40.70974655416164, -74.00134439984286, 40.70964629282545)",5378
"(-74.00134439984286, 40.70964629282545, -74.00055005017921, 40.70901791648548)",5378
"(-74.00055005017921, 40.70901791648548, -74.0002656672536, 40.70879294912201)",5378
"(-74.0002656672536, 40.70879294912201, -74.00019103175714, 40.70873391176482)",5378
"(-74.00019103175714, 40.70873391176482, -74.00012359130507, 40.708684518824825)",5378
"(-74.00012359130507, 40.708684518824825, -74.00000765644326, 40.70859961870657)",5378
"(-74.00000765644326, 40.70859961870657, -73.99992936478739, 40.708536817042024)",5378
"(-73.99992936478739, 40.708536817042024, -73.99981193941389, 40.708442614444415)",5378
"(-73.99981193941389, 40.708442614444415, -73.99956273321519, 40.708236483171774)",5378
"(-73.99956273321519, 40.708236483171774, -73.99944281441104, 40.70813655653566)",5378
"(-73.99944281441104, 40.70813655653566, -73.99939955105094, 40.70810033776012)",5378
"(-73.99939955105094, 40.70810033776012, -73.99936195595382, 40.70807228663577)",5378
"(-73.99919451201151, 40.70794737568406, -73.99808986424786, 40.707071899162706)",5181
"(-73.99808986424786, 40.707071899162706, -73.99654394072614, 40.705846644516775)",5181
"(-74.00263900207327, 40.706223527461404, -74.0021484675067, 40.70650331212912)",5652
"(-74.0021484675067, 40.70650331212912, -74.00202770343076, 40.70657163161143)",5652
"(-74.00202770343076, 40.70657163161143, -74.00112142778099, 40.7070165182001)",5652
"(-74.00112142778099, 40.7070165182001, -74.00100771078944, 40.70707789900013)",5652
"(-74.00585977028695, 40.71013970356433, -74.00559862332402, 40.710396965506504)",5596
"(-74.00559862332402, 40.710396965506504, -74.0058663676889, 40.71065027218099)",5596
"(-74.00647921408081, 40.71123006291923, -74.0058663676889, 40.71065027218099)",5596
"(-74.00647921408081, 40.71123006291923, -74.00607959093682, 40.71151464071383)",5596
"(-73.99922363440119, 40.70805305176842, -73.99911786037545, 40.708098286382736)",4575
"(-74.00603546702807, 40.71190618869709, -74.0060137085332, 40.71185388727404)",8572
"(-74.00603546702807, 40.71190618869709, -74.00565912303166, 40.71192432338665)",293
"(-74.00603546702807, 40.71190618869709, -74.00606917563722, 40.71200842820671)",8279
"(-74.0060137085332, 40.71185388727404, -74.00585049608735, 40.71167768915194)",8572
"(-74.00585049608735, 40.71167768915194, -74.00545000674387, 40.711305090971614)",3220
"(-74.00585049608735, 40.71167768915194, -74.00599445396749, 40.71157526666082)",5596
"(-73.99621205200245, 40.70558359018458, -73.99497729772911, 40.7046049012552)",5181
"(-73.99621205200245, 40.70558359018458, -73.99654394072614, 40.705846644516775)",5181
